pair,period,signal,date
SPX,daily,Strong Buy,2022-02-09 12:55:00-08:00
SPX,weekly,Neutral,2022-02-09 12:55:00-08:00
DJA,daily,Strong Buy,2022-02-09 12:56:00-08:00
DJA,weekly,Buy,2022-02-09 12:56:00-08:00
SPX,daily,Strong Buy,2022-02-09 12:55:00-08:00
SPX,weekly,Neutral,2022-02-09 12:55:00-08:00
DJA,daily,Strong Buy,2022-02-10 06:26:00-08:00
DJA,weekly,Buy,2022-02-09 11:55:00-08:00
SPX,daily,Strong Buy,2022-02-10 08:57:00-08:00
SPX,weekly,Neutral,2022-02-10 08:57:00-08:00
DJA,daily,Strong Buy,2022-02-10 08:57:00-08:00
DJA,weekly,Neutral,2022-02-10 08:57:00-08:00
SPX,daily,Neutral,2022-02-10 10:37:00-08:00
SPX,weekly,Neutral,2022-02-10 10:37:00-08:00
DJA,daily,Buy,2022-02-10 10:37:00-08:00
DJA,weekly,Neutral,2022-02-10 10:37:00-08:00
